tempo,frame,expressao,confianca
19:14:24,0,neutral,64.1497552394867
19:14:24,1,neutral,55.650126934051514
19:14:24,2,sad,52.0607230590912
19:14:24,3,sad,70.57819191087437
19:14:24,4,sad,57.269087867086405
19:14:24,5,neutral,87.26088404655457
19:14:24,6,neutral,77.117870874278
19:14:24,7,neutral,77.52056449896867
19:14:24,8,sad,55.72683146872145
19:14:24,9,neutral,85.69949269294739
19:14:24,10,sad,50.25641322135925
19:14:24,11,neutral,80.07088184779178
19:14:24,12,sad,60.1410448551178
19:14:24,13,sad,75.81886053085327
19:14:24,14,neutral,52.369046211242676
19:14:24,15,sad,56.49789571762085
19:14:24,16,sad,47.59130165525089
19:14:24,17,sad,51.7017662525177
19:14:24,18,sad,57.40770101547241
19:14:24,19,sad,61.11339330673218
19:14:24,20,sad,65.17239809036255
19:14:25,21,neutral,51.66285037994385
19:14:25,22,sad,52.83055024329127
19:14:25,23,sad,58.59347581863403
19:14:25,24,sad,56.064462661743164
19:14:25,25,sad,63.688801087283956
19:14:25,26,sad,60.049847367396794
19:14:25,27,sad,47.41707444190979
19:14:25,28,sad,55.06883263587952
19:14:25,29,sad,49.33071434497833
19:14:25,30,sad,51.881104707717896
19:14:25,31,neutral,50.90891122817993
19:14:25,32,sad,49.66065887681736
19:14:25,33,sad,48.131489753723145
19:14:25,34,sad,52.58677319209416
19:14:25,35,sad,52.18783617019653
19:14:25,36,sad,48.10632146672266
19:14:25,37,sad,46.23801410198212
19:14:25,38,sad,54.78256940841675
19:14:25,39,sad,51.65674090385437
19:14:25,40,sad,51.704663038253784
19:14:25,41,sad,52.03264069751744
19:14:25,42,sad,52.59108260816828
19:14:25,43,sad,55.04297942179319
19:14:25,44,sad,51.98533511336623
19:14:25,45,sad,55.56249022483826
19:14:26,46,sad,60.37301781016694
19:14:26,47,sad,65.84322452545166
19:14:26,48,sad,66.75008337200185
19:14:26,49,sad,60.93210577964783
19:14:26,50,sad,63.91141414642334
19:14:26,51,sad,61.49822336456497
19:14:26,52,sad,71.85263373224333
19:14:26,53,sad,54.97291684150696
19:14:26,54,sad,52.50746324702878
19:14:26,55,sad,51.02506292165076
19:14:26,56,sad,56.517815589904785
19:14:26,57,neutral,63.295549154281616
19:14:26,58,sad,55.79560399055481
19:14:26,59,sad,52.65846848487854
19:14:26,60,sad,45.21378335788448
19:14:26,61,sad,53.54829430580139
19:14:26,62,sad,51.14414691925049
19:14:26,63,neutral,58.62995982170105
19:14:26,64,neutral,47.829761971817135
19:14:26,65,sad,56.09393192457341
19:14:26,66,sad,51.54852867126465
19:14:26,67,sad,48.13149273395538
19:14:26,68,neutral,59.500283002853394
19:14:26,69,sad,68.17721724510193
19:14:27,70,sad,57.485518305630585
19:14:27,71,sad,50.47956109046936
19:14:27,72,sad,53.72686982154846
19:14:27,73,neutral,39.72210524809988
19:14:27,74,sad,47.433462738990784
19:14:27,75,sad,60.49342155456543
19:14:27,76,sad,60.47949194908142
19:14:27,77,sad,54.088252782821655
19:14:27,78,sad,53.300124406814575
19:14:27,79,sad,52.33527421951294
19:14:27,80,sad,52.40144729614258
19:14:27,81,sad,56.16441369056702
19:14:27,82,neutral,67.63803766000495
19:14:27,83,neutral,49.60960452442115
19:14:27,84,neutral,73.8692045211792
19:14:27,85,sad,50.43124556541443
19:14:27,86,sad,53.08864116668701
19:14:27,87,sad,50.286662578582764
19:14:27,88,sad,49.493038593892884
19:14:27,89,neutral,51.92355513572693
19:14:27,90,sad,52.17277407646179
19:14:27,91,neutral,46.55089655821899
19:14:28,92,sad,61.55190467834473
19:14:28,93,neutral,68.73542070388794
19:14:28,94,neutral,45.577653715330804
19:14:28,95,sad,71.16700238984838
19:14:28,96,sad,48.389420297284055
19:14:28,97,neutral,58.83171558380127
19:14:28,98,sad,51.61195397377014
19:14:28,99,sad,55.070072412490845
19:14:28,100,neutral,88.52210640907288
19:14:28,101,sad,66.47959351539612
19:14:28,102,sad,68.07380318641663
19:14:28,103,sad,70.8798885345459
19:14:28,104,sad,78.89927499886007
19:14:28,105,sad,68.4019386768341
19:14:28,106,neutral,51.39811038970947
19:14:29,107,neutral,60.970139503479004
19:14:29,108,neutral,67.75991320610046
19:14:29,109,neutral,51.03001594543457
19:14:29,110,sad,54.07012427271153
19:14:29,111,neutral,65.66786170005798
19:14:29,112,neutral,64.38629414953554
19:14:29,113,neutral,63.08921575546265
19:14:29,114,neutral,54.172468185424805
19:14:29,115,sad,49.85063672065735
19:14:29,116,neutral,56.337350606918335
19:14:29,117,sad,62.25989910842191
19:14:29,118,sad,67.08024740219116
19:14:29,119,neutral,70.61767578125
19:14:29,120,sad,52.61275768280029
19:14:29,121,neutral,67.64946983155428
19:14:29,122,neutral,60.98923814168431
19:14:29,123,neutral,80.60969114303589
19:14:29,124,neutral,58.82060527801514
19:14:29,125,sad,57.71604776382446
19:14:29,126,neutral,79.63429568018292
19:14:29,127,sad,48.08679521083832
19:14:29,128,neutral,47.355809807777405
19:14:29,129,sad,52.615004777908325
19:14:30,130,neutral,49.72325265407562
19:14:30,131,sad,47.50328063964844
19:14:30,132,sad,53.80540490150452
19:14:30,133,neutral,60.81109175814292
19:14:30,134,sad,45.34142017364502
19:14:30,135,neutral,55.92682957649231
19:14:30,136,neutral,70.7423490728348
19:14:30,137,neutral,67.07352995872498
19:14:30,138,sad,45.08753418922424
19:14:30,139,sad,57.20716714859009
19:14:30,140,neutral,48.28016459941864
19:14:30,141,sad,64.99097943305969
19:14:30,142,sad,66.76825881004333
19:14:30,143,sad,60.9527362528725
19:14:30,144,sad,51.67213390303456
19:14:30,145,sad,54.955893754959106
19:14:30,146,sad,51.54534578323364
19:14:30,147,sad,57.36520290374756
19:14:30,148,fear,52.008479833602905
19:14:30,149,sad,49.92131590843201
19:14:30,150,fear,34.50602889060974
19:14:30,151,sad,45.270043329599105
19:14:30,152,sad,45.379918813705444
19:14:31,153,fear,55.33812642097473
19:14:31,154,fear,50.80699324607849
19:14:31,155,fear,81.37885554088884
19:14:31,156,fear,80.66056370735168
19:14:31,157,fear,72.36601114273071
19:14:31,158,fear,77.53790616989136
19:14:31,159,sad,47.1928745508194
